step,t,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,dyn_x,dyn_y,dyn_z,stat_x,stat_y,stat_z,d_min,rpz,rpf,target_x,target_y,target_z
30,3.000000,-1.497527,-1.703670,1.163276,0.175019,0.163584,0.071475,-1.200000,1.140000,2.500000,3.500000,-1.000000,2.000000,3.156234,1.000000,1.500000,3.000000,2.500000,3.000000
31,3.100000,-1.482978,-1.700979,1.166589,0.145491,0.026905,0.033125,-1.190000,1.128000,2.500000,3.500000,-1.000000,2.000000,3.141170,1.000000,1.500000,3.000000,2.500000,3.000000
32,3.200000,-1.465497,-1.684599,1.173737,0.174804,0.163808,0.071490,-1.180000,1.116000,2.500000,3.500000,-1.000000,2.000000,3.111886,1.000000,1.500000,3.000000,2.500000,3.000000
33,3.300000,-1.450964,-1.681880,1.177055,0.145332,0.027189,0.033176,-1.170000,1.104000,2.500000,3.500000,-1.000000,2.000000,3.096813,1.000000,1.500000,3.000000,2.500000,3.000000
34,3.400000,-1.433505,-1.665477,1.184206,0.174587,0.164032,0.071504,-1.160000,1.092000,2.500000,3.500000,-1.000000,2.000000,3.067539,1.000000,1.500000,3.000000,2.500000,3.000000
35,3.500000,-1.418988,-1.662729,1.187528,0.145173,0.027472,0.033227,-1.150000,1.080000,2.500000,3.500000,-1.000000,2.000000,3.052458,1.000000,1.500000,3.000000,2.500000,3.000000
36,3.600000,-1.401551,-1.646304,1.194680,0.174369,0.164257,0.071518,-1.140000,1.068000,2.500000,3.500000,-1.000000,2.000000,3.023196,1.000000,1.500000,3.000000,2.500000,3.000000
37,3.700000,-1.387050,-1.643528,1.198008,0.145013,0.027757,0.033277,-1.130000,1.056000,2.500000,3.500000,-1.000000,2.000000,3.008107,1.000000,1.500000,3.000000,2.500000,3.000000
38,3.800000,-1.369635,-1.627080,1.205161,0.174150,0.164483,0.071533,-1.120000,1.044000,2.500000,3.500000,-1.000000,2.000000,2.978857,1.000000,1.500000,3.000000,2.500000,3.000000
39,3.900000,-1.355149,-1.624275,1.208494,0.144854,0.028042,0.033328,-1.110000,1.032000,2.500000,3.500000,-1.000000,2.000000,2.963762,1.000000,1.500000,3.000000,2.500000,3.000000
40,4.000000,-1.337756,-1.607804,1.215649,0.173930,0.164710,0.071547,-1.100000,1.020000,2.500000,3.500000,-1.000000,2.000000,2.934526,1.000000,1.500000,3.000000,2.500000,3.000000
41,4.100000,-1.323256,-1.605011,1.218983,0.145004,0.027934,0.033341,-1.090000,1.008000,2.500000,3.500000,-1.000000,2.000000,2.919459,1.000000,1.500000,3.000000,2.500000,3.000000
42,4.200000,-1.305885,-1.588517,1.226139,0.173708,0.164939,0.071561,-1.080000,0.996000,2.500000,3.500000,-1.000000,2.000000,2.890238,1.000000,1.500000,3.000000,2.500000,3.000000
43,4.300000,-1.291401,-1.585695,1.229478,0.144842,0.028227,0.033392,-1.070000,0.984000,2.500000,3.500000,-1.000000,2.000000,2.875165,1.000000,1.500000,3.000000,2.500000,3.000000
44,4.400000,-1.274053,-1.569178,1.236635,0.173484,0.165168,0.071575,-1.060000,0.972000,2.500000,3.500000,-1.000000,2.000000,2.845961,1.000000,1.500000,3.000000,2.500000,3.000000
45,4.500000,-1.259585,-1.566326,1.239980,0.144679,0.028520,0.033443,-1.050000,0.960000,2.500000,3.500000,-1.000000,2.000000,2.830883,1.000000,1.500000,3.000000,2.500000,3.000000
46,4.600000,-1.242259,-1.549786,1.247139,0.173259,0.165398,0.071589,-1.040000,0.948000,2.500000,3.500000,-1.000000,2.000000,2.801697,1.000000,1.500000,3.000000,2.500000,3.000000
47,4.700000,-1.227807,-1.546905,1.250488,0.144516,0.028814,0.033494,-1.030000,0.936000,2.500000,3.500000,-1.000000,2.000000,2.786615,1.000000,1.500000,3.000000,2.500000,3.000000
48,4.800000,-1.210504,-1.530342,1.257648,0.173032,0.165629,0.071603,-1.020000,0.924000,2.500000,3.500000,-1.000000,2.000000,2.757449,1.000000,1.500000,3.000000,2.500000,3.000000
49,4.900000,-1.196069,-1.527431,1.261003,0.144353,0.029108,0.033545,-1.010000,0.912000,2.500000,3.500000,-1.000000,2.000000,2.742364,1.000000,1.500000,3.000000,2.500000,3.000000
50,5.000000,-1.178788,-1.510845,1.268164,0.172805,0.165860,0.071616,-1.000000,0.900000,2.500000,3.500000,-1.000000,2.000000,2.713219,1.000000,1.500000,3.000000,2.500000,3.000000
51,5.100000,-1.163178,-1.510376,1.269399,0.156098,0.004687,0.012346,-0.990000,0.888000,2.500000,3.500000,-1.000000,2.000000,2.701218,1.000000,1.500000,3.000000,2.500000,3.000000
52,5.200000,-1.145930,-1.493761,1.276569,0.172486,0.166155,0.071701,-0.980000,0.876000,2.500000,3.500000,-1.000000,2.000000,2.672093,1.000000,1.500000,3.000000,2.500000,3.000000
53,5.300000,-1.130365,-1.493185,1.277839,0.155651,0.005760,0.012698,-0.970000,0.864000,2.500000,3.500000,-1.000000,2.000000,2.660022,1.000000,1.500000,3.000000,2.500000,3.000000
54,5.400000,-1.113148,-1.476540,1.285017,0.172167,0.166449,0.071785,-0.960000,0.852000,2.500000,3.500000,-1.000000,2.000000,2.630919,1.000000,1.500000,3.000000,2.500000,3.000000
55,5.500000,-1.097627,-1.475857,1.286322,0.155209,0.006826,0.013047,-0.950000,0.840000,2.500000,3.500000,-1.000000,2.000000,2.618779,1.000000,1.500000,3.000000,2.500000,3.000000
56,5.600000,-1.080442,-1.459183,1.293509,0.171849,0.166742,0.071869,-0.940000,0.828000,2.500000,3.500000,-1.000000,2.000000,2.589701,1.000000,1.500000,3.000000,2.500000,3.000000
57,5.700000,-1.061958,-1.464414,1.289374,0.184838,-0.052315,-0.041350,-0.930000,0.816000,2.500000,3.500000,-1.000000,2.000000,2.585211,1.000000,1.500000,3.000000,2.500000,3.000000
58,5.800000,-1.044828,-1.447696,1.296588,0.171301,0.167187,0.072141,-0.920000,0.804000,2.500000,3.500000,-1.000000,2.000000,2.556153,1.000000,1.500000,3.000000,2.500000,3.000000
59,5.900000,-1.030053,-1.445526,1.299147,0.147753,0.021694,0.025587,-0.910000,0.792000,2.500000,3.500000,-1.000000,2.000000,2.542240,1.000000,1.500000,3.000000,2.500000,3.000000
60,6.000000,-1.012950,-1.428782,1.306365,0.171032,0.167445,0.072183,-0.900000,0.780000,2.500000,3.500000,-1.000000,2.000000,2.513213,1.000000,1.500000,3.000000,2.500000,3.000000
61,6.100000,-0.998614,-1.425720,1.309763,0.143355,0.030616,0.033976,-0.890000,0.768000,2.500000,3.500000,-1.000000,2.000000,2.498173,1.000000,1.500000,3.000000,2.500000,3.000000
62,6.200000,-0.981535,-1.408952,1.316982,0.170795,0.167681,0.072196,-0.880000,0.756000,2.500000,3.500000,-1.000000,2.000000,2.469182,1.000000,1.500000,3.000000,2.500000,3.000000
63,6.300000,-0.967216,-1.405860,1.320385,0.143188,0.030926,0.034027,-0.870000,0.744000,2.500000,3.500000,-1.000000,2.000000,2.454147,1.000000,1.500000,3.000000,2.500000,3.000000
